top	sub
1611.04051	1710.09508
hep-th/0610055	hep-th/0610281
hep-ph/0303169	nucl-th/0411025
nucl-th/0206001	nucl-th/0411025
1705.10998	1805.07805
hep-th/9505100	hep-th/0204127
hep-ph/9909567	hep-ph/9910255
hep-ph/9811501	hep-ph/9910255
hep-ph/9811428	hep-ph/9910255
1707.05380	1708.08929
0911.1120	1708.08929
1302.2613	1511.03572
1310.6335	1511.03572
1511.04795	1511.03572
hep-ph/9901203	1107.5758
hep-ph/9910230	1107.5758
hep-th/0005046	hep-th/0006236
1503.01599	1802.06281
astro-ph/9606047	astro-ph/0701432
0709.2359	1103.3383
0907.2646	1103.3383
hep-th/0609073	1103.3383
hep-th/0205254	hep-th/0701133
hep-ph/9704347	hep-ph/9704389
math-ph/0501017	1210.1123
0712.2355	0910.1334
1402.1066	1404.7141
hep-ph/0104285	nucl-th/0109007
hep-ph/0202255	0901.3099
quant-ph/0311001	0811.4428
1208.2615	1701.08147
cond-mat/0210312	0903.3122
0802.2962	0905.2126
hep-ph/0302054	0905.2126
hep-ph/0608042	0905.2126
astro-ph/0605724	1104.4572
0912.5297	1104.4572
hep-ph/9808434	nucl-th/9810056
nucl-th/9811078	nucl-th/9810056
hep-ph/0108003	hep-ph/0110164
1604.03540	1612.04402
1504.06066	1612.04402
0810.4110	0905.2075
0811.1555	0905.2075
hep-th/9711090	hep-th/9805191
hep-ph/9809292	hep-ph/9811440
0906.1263	0910.3165
hep-ph/0410047	0910.3165
0809.1151	0910.3165
0904.4248	1803.03971
1001.2479	1803.03971
1006.1326	1102.2631
0909.3140	1102.2631
0802.0711	1212.6687
1511.04474	1608.06911
1001.1769	1608.06911
1511.02867	1608.06911
1403.3358	1608.06911
hep-th/9902100	hep-th/0503124
hep-th/9703157	hep-th/0503124
1406.2664	1810.07478
hep-ph/0512163	1008.1580
1405.1551	1709.01417
1405.7623	1709.01417
1707.07666	1709.01417
1002.1721	1207.1716
1205.6434	1207.1716
1202.3415	1207.1716
1003.4957	1303.4534
hep-th/0307032	1205.3656
hep-th/0609044	1205.3656
1212.6220	1706.01369
hep-th/9911230	1610.03496
1606.06747	1606.09543
1311.6471	1606.09543
0910.2211	1001.4325
0706.2399	1610.07518
astro-ph/0510519	1610.07518
hep-ph/9910230	hep-ph/0008223
1402.6740	1803.06335
1312.3622	1803.06335
1408.1698	1803.06335
0912.2988	1011.3481
math-ph/0604014	1011.3481
0911.1922	1011.3481
1011.3859	1011.3481
hep-th/0411123	hep-th/0605021
0807.1003	1110.6249
1309.5912	1408.0266
1511.03964	1603.01560
1609.02541	1512.01022
hep-lat/0508029	0910.1226
1403.4427	1704.00540
hep-ph/9810535	hep-th/0101186
quant-ph/0312059	hep-th/0512200
hep-th/0008075	hep-th/0512200
1311.2697	1503.08671
1106.5365	1503.08671
1607.03504	1709.06553
1511.02148	1709.06553
0905.3903	1709.06553
hep-th/0006224	hep-th/0007145
hep-th/9906242	hep-th/0007145
hep-th/0003298	hep-th/0007145
hep-th/0003166	hep-th/0007145
1603.03771	1611.10060
0905.2126	0905.2739
hep-ph/0302054	0905.2739
hep-ph/0307359	0905.2739
hep-th/9705162	hep-th/9812188
hep-th/9710243	hep-th/9812188
hep-th/9706117	hep-th/9812188
quant-ph/0005114	quant-ph/0008023
hep-th/9601007	hep-ph/0003259
hep-ph/0108117	hep-ph/0303262
astro-ph/9812205	astro-ph/9906001
1803.07555	1808.02532
0911.1120	1804.07369
1412.3459	1804.07369
0812.0534	0907.0763
hep-ph/0401064	1206.5212
hep-ph/0206064	1206.5212
0801.1826	1206.5212
1708.01186	1802.09784
1407.4357	1802.09784
hep-th/9708147	hep-th/0703024
0804.4004	1002.3223
cond-mat/0411174	quant-ph/0511131
hep-th/9903190	hep-th/9911202
hep-th/0502149	hep-th/0609203
1004.3736	1111.3656
hep-th/0205131	1111.3656
0804.4290	0811.1656
cond-mat/9905219	0805.4200
1002.4246	1011.5981
0803.3085	1401.5212
hep-th/9311012	hep-th/9408112
hep-th/9403191	hep-th/9408112
gr-qc/0306072	gr-qc/0306116
hep-th/0104227	gr-qc/0306116
hep-th/0004097	gr-qc/0306116
hep-th/0507228	0705.2070
0812.0294	1006.1717
1109.5028	1112.1394
cond-mat/9805404	0803.3984
hep-th/9506126	0803.3984
hep-th/0604024	0803.3984
hep-th/0101071	0803.3984
hep-th/9810237	0803.3984
1606.08429	1704.01955
1506.04087	1704.01955
1502.01667	1712.04916
1603.02708	1802.08823
hep-th/0403001	0906.1813
0809.5142	0906.1813
1301.7225	1308.0463
0912.2346	1711.02970
1609.02555	1711.02970
1708.08929	1711.02970
0807.3228	1012.5032
hep-th/0403047	1012.5032
1003.6120	1012.5032
0807.3196	1012.5032
1504.01177	1703.10839
1203.1036	1610.00740
1506.01718	1610.00740
1003.5694	1610.00740
1009.6032	1610.00740
1010.3041	1009.3521
gr-qc/0212077	gr-qc/0402064
hep-th/0304135	gr-qc/0402064
gr-qc/0005126	gr-qc/0402064
gr-qc/0110034	gr-qc/0402064
hep-th/0410155	0802.0231
hep-th/0304064	0802.0231
hep-th/0211113	hep-th/0304217
hep-th/0205131	hep-th/0304217
gr-qc/9904062	0705.0924
hep-ph/0606230	0705.0924
0807.3324	1207.1027
1710.08220	1803.00549
1002.1088	1611.05808
0807.3324	1611.05808
0905.0932	1611.05808
1312.4157	1812.09293
1703.09548	1812.09293
1003.4957	1812.09293
1506.02105	1812.09293
1203.5283	1204.6224
hep-ph/9910275	hep-ph/0504224
hep-ph/0103125	hep-ph/0504224
hep-ph/0311349	hep-ph/0504224
1708.08668	1708.08404
1704.07859	1708.08404
1107.1499	1708.08404
hep-th/0205131	1708.08404
hep-th/9804058	1708.08404
1401.0825	1708.08404
hep-th/9910181	math/0601193
hep-ph/9605283	hep-lat/9612006
nucl-th/0308034	hep-ph/0312074
hep-ph/0310221	hep-ph/0312074
0707.2315	1101.5312
astro-ph/9808276	astro-ph/9909253
1212.5226	1403.5549
1402.1227	1403.5549
1103.5758	1403.5549
nucl-th/0505055	nucl-ex/0701021
hep-th/9711138	hep-th/9801206
hep-ph/0205269	astro-ph/0605232
hep-th/9806135	1606.08073
cond-mat/0611427	1606.08073
1110.1127	1412.6326
0806.3156	1412.6326
1606.04017	1702.05725
1602.08140	1702.05725
0807.1080	0906.4095
1602.06759	1901.06235
1511.04491	1705.03737
1403.5679	1608.06643
1703.09212	1811.11584
1601.05779	1811.11584
1511.01454	1811.11584
1708.01530	1811.11584
hep-ph/0011335	1501.00206
1306.4710	1501.00206
1408.5142	1501.00206
1411.2619	1501.00206
0803.2360	1501.00206
1302.6589	1501.00206
1212.5226	1501.00206
hep-ph/0310187	0912.1382
hep-th/0009117	hep-th/0012082
1709.00070	1803.00855
1107.5788	1803.00855
1106.3066	1803.00855
1410.7318	1512.01802
1201.1944	1312.5549
hep-ph/0605139	0704.0358
hep-ph/9611325	0707.0020
